Lat,Long
51.500908,-0.039654
51.500793,-0.039781
51.500763,-0.039880
51.500725,-0.039923
51.500637,-0.040049
51.500576,-0.040142
51.500416,-0.040264
51.500416,-0.040264
51.500435,-0.040175
51.500511,-0.040007
51.500759,-0.039818
51.500809,-0.039740
51.500568,-0.039971
